id,name_of_the_race,publish_date,date_record_started,date_record_finished,was_recorded_complete,is_recorded,celery_recorder_id
15,"28.10.23, 10 hours",2023-10-28 07:37:37.654022+00:00,2023-10-28 08:04:08.348805+00:00,2023-10-28 18:04:57.510420+00:00,True,True,83f775b4-016f-45bf-91d9-c16035e73620
14,"21.09.23, 2 hours",2023-10-21 07:04:54.182825+00:00,2023-10-21 07:21:06.953169+00:00,2023-10-21 09:22:45.025181+00:00,True,True,c6c7d3db-a0c7-4e21-9ad2-4e09046513a7
13,"14.10.23, 4 hours",2023-10-14 06:18:15.874087+00:00,2023-10-14 08:10:01.330484+00:00,2023-10-14 11:50:07.741744+00:00,True,True,38349641-fe83-4172-8f4e-742c7df6434a
12,"30.09.23, 4 hours",2023-09-29 17:48:58.055013+00:00,2023-09-30 07:23:39.946135+00:00,2023-09-30 07:27:39.608496+00:00,True,True,9683c1a0-9d05-4264-abf6-9c06ffc6340d
11,"23.09.23, 2 hours",2023-09-23 06:58:28.500679+00:00,2023-09-23 07:21:18.871439+00:00,2023-09-23 09:23:43.677052+00:00,True,True,3b3a7613-a510-480a-841c-714c274fec7f
10,"16.09.23, 4 hours",2023-09-16 06:28:35.208338+00:00,2023-09-16 06:28:35.208344+00:00,2023-09-16 06:28:35.208346+00:00,False,False,0
9,"09.09.23, 2 hours",2023-09-09 07:06:01.175362+00:00,2023-09-09 07:11:16.414686+00:00,2023-09-09 09:18:44.608111+00:00,True,True,9d2787c4-dc99-4e8c-93d6-01bc21b5843a
8,"02.09.23, 4 hours",2023-09-02 06:36:02.620271+00:00,2023-09-02 07:33:06.152687+00:00,2023-09-02 11:37:08.776899+00:00,True,True,fe7f8c8e-95be-433d-9035-83df66df9f90
7,"26.08.23, 2 hours",2023-08-26 06:22:54.872038+00:00,2023-08-26 07:14:37.170415+00:00,2023-08-26 09:17:32.975671+00:00,True,True,1d8f0d79-8c28-448d-97f0-cb423c8a3e23
6,"19.08.23, 4 hours",2023-08-18 22:41:35.992233+00:00,2023-08-19 07:44:45.603536+00:00,2023-08-19 11:45:38.510643+00:00,True,True,0d187eca-fe1a-42e4-8d19-6a12fcf9a752
5,"12.08.23, 2 hours",2023-08-12 05:12:37.418369+00:00,2023-08-12 07:20:52.022094+00:00,2023-08-12 09:28:23.109943+00:00,True,True,610d5cf8-bdb4-4817-920d-7b7e2aa05bf7
4,3rd koyeb recorder test,2023-08-11 16:33:54.169939+00:00,2023-08-11 16:34:02.128264+00:00,2023-08-11 16:40:13.991996+00:00,True,True,5ebfb241-59ee-40f1-b90e-bd6655273a14
3,2nd koyeb recorder test,2023-08-11 14:54:50.924732+00:00,2023-08-11 14:54:57.982945+00:00,2023-08-11 14:55:49.066454+00:00,True,True,76d73d1b-9eb7-4eb7-ab39-b122eb96883e
2,1st koyeb recorder test,2023-08-11 14:33:28.512426+00:00,2023-08-11 14:41:40.125534+00:00,2023-08-11 14:45:01.934747+00:00,True,True,fcafd5f3-e596-4a07-a907-4c3482782946
1,TEST_1,2023-08-10 16:19:22.389988+00:00,2023-10-14 06:18:25.214243+00:00,2023-10-14 06:18:43.092795+00:00,True,True,0
